COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;Cod Grupo;Desc Grupo;ATIVO;
RHC00G05;BATA 115 FEM   GESTANTE   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00G06;BATA 115 FEM   GESTANTE   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00G07;CAMISA 116 FEM   EXTERNOS   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G08;CAMISA 116 FEM   EXTERNOS   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G09;CAMISA 116 FEM   EXTERNOS   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G10;CAMISA 116 FEM   EXTERNOS   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G11;CAMISA 116 FEM   EXTERNOS   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G12;CAMISA 116 FEM   EXTERNOS   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G13;CAMISA 116 FEM   EXTERNOS   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G14;BATA GESTANTE PIQUET M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G15;BATA GESTANTE PIQUET G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G16;BATA GESTANTE PIQUET GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G17;BATA GESTANTE PIQUET BORDADO TAM P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G18;BATA GESTANTE PIQUET XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00T01;CAMISA TREINAMENTO P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00T02;CAMISA TREINAMENTO PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00T03;CAMISA TREINAMENTO M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00T04;CAMISA TREINAMENTO G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
